,product_category_name_english,encoded_column
0,cool_stuff,21
1,cool_stuff,21
2,cool_stuff,21
3,cool_stuff,21
4,cool_stuff,21
5,cool_stuff,21
6,cool_stuff,21
7,cool_stuff,21
8,cool_stuff,21
9,cool_stuff,21
10,cool_stuff,21
11,cool_stuff,21
12,cool_stuff,21
13,cool_stuff,21
14,cool_stuff,21
15,cool_stuff,21
16,cool_stuff,21
17,cool_stuff,21
18,cool_stuff,21
19,cool_stuff,21
20,cool_stuff,21
21,cool_stuff,21
22,cool_stuff,21
23,cool_stuff,21
24,cool_stuff,21
25,cool_stuff,21
26,cool_stuff,21
27,toys,70
28,toys,70
29,toys,70
30,toys,70
31,toys,70
32,toys,70
33,toys,70
34,toys,70
35,toys,70
36,toys,70
37,toys,70
38,toys,70
39,toys,70
40,toys,70
41,toys,70
42,toys,70
43,cool_stuff,21
44,cool_stuff,21
45,cool_stuff,21
46,cool_stuff,21
47,cool_stuff,21
48,cool_stuff,21
49,cool_stuff,21
50,cool_stuff,21
51,cool_stuff,21
52,toys,70
53,toys,70
54,toys,70
55,toys,70
56,toys,70
57,toys,70
58,cool_stuff,21
59,cool_stuff,21
60,cool_stuff,21
61,cool_stuff,21
62,cool_stuff,21
63,cool_stuff,21
64,cool_stuff,21
65,cool_stuff,21
66,cool_stuff,21
67,cool_stuff,21
68,cool_stuff,21
69,cool_stuff,21
70,cool_stuff,21
71,cool_stuff,21
72,cool_stuff,21
73,cool_stuff,21
74,cool_stuff,21
75,cool_stuff,21
76,cool_stuff,21
77,cool_stuff,21
78,cool_stuff,21
79,cool_stuff,21
80,cool_stuff,21
81,cool_stuff,21
82,cool_stuff,21
83,cool_stuff,21
84,cool_stuff,21
85,cool_stuff,21
86,cool_stuff,21
87,cool_stuff,21
88,cool_stuff,21
89,cool_stuff,21
90,cool_stuff,21
91,cool_stuff,21
92,cool_stuff,21
93,cool_stuff,21
94,cool_stuff,21
95,cool_stuff,21
96,cool_stuff,21
97,cool_stuff,21
98,cool_stuff,21
99,cool_stuff,21
100,cool_stuff,21
101,cool_stuff,21
102,cool_stuff,21
103,cool_stuff,21
104,cool_stuff,21
105,cool_stuff,21
106,cool_stuff,21
107,cool_stuff,21
108,cool_stuff,21
109,cool_stuff,21
110,tablets_printing_image,68
111,cool_stuff,21
112,cool_stuff,21
113,cool_stuff,21
114,cool_stuff,21
115,cool_stuff,21
116,cool_stuff,21
117,cool_stuff,21
118,cool_stuff,21
119,cool_stuff,21
120,cool_stuff,21
